portfolio,label,win_rate,profit_factor,pnl,roi_pct,max_dd_pct,trades,score,params
3000.0,V2_MOD,48.3,1.24,714.01,23.8,6.45,172,621.755,"{""label"":""V2_MOD"",""ema_fast"":21,""ema_slow"":50,""rr"":1.5,""sl_atr"":1.5,""pb_pct"":0.3,""rsi_buy_max"":48,""rsi_sell_min"":52,""adx_min"":12,""need_2candle"":false,""need_macd"":true,""session_filter"":false}"
3000.0,V2_ADX_ONLY,43.8,1.02,143.87,4.8,21.46,356,-20.965,"{""label"":""V2_ADX_ONLY"",""ema_fast"":21,""ema_slow"":50,""rr"":1.5,""sl_atr"":1.5,""pb_pct"":0.3,""rsi_buy_max"":48,""rsi_sell_min"":52,""adx_min"":15,""need_2candle"":false,""need_macd"":false,""session_filter"":false}"
3000.0,V2_MACD_ONLY,48.0,1.23,677.81,22.59,6.45,173,597.155,"{""label"":""V2_MACD_ONLY"",""ema_fast"":21,""ema_slow"":50,""rr"":1.5,""sl_atr"":1.5,""pb_pct"":0.3,""rsi_buy_max"":48,""rsi_sell_min"":52,""adx_min"":0,""need_2candle"":false,""need_macd"":true,""session_filter"":false}"
3000.0,V2_BODY_MACD,44.2,1.06,157.14,5.24,8.78,147,197.87,"{""label"":""V2_BODY_MACD"",""ema_fast"":21,""ema_slow"":50,""rr"":1.5,""sl_atr"":1.5,""pb_pct"":0.3,""rsi_buy_max"":48,""rsi_sell_min"":52,""adx_min"":0,""need_2candle"":true,""need_macd"":true,""session_filter"":false}"
3000.0,V2_SELL_BIAS,48.2,1.28,635.9,21.2,11.48,139,526.75,"{""label"":""V2_SELL_BIAS"",""ema_fast"":21,""ema_slow"":50,""rr"":2.0,""sl_atr"":1.5,""pb_pct"":0.3,""rsi_buy_max"":40,""rsi_sell_min"":50,""adx_min"":12,""need_2candle"":false,""need_macd"":true,""session_filter"":false}"
3000.0,V2_SELL_ONLY,48.0,1.3,740.18,24.67,13.24,152,561.49,"{""label"":""V2_SELL_ONLY"",""ema_fast"":21,""ema_slow"":50,""rr"":2.0,""sl_atr"":1.5,""pb_pct"":0.35,""rsi_buy_max"":0,""rsi_sell_min"":50,""adx_min"":12,""need_2candle"":false,""need_macd"":true,""session_filter"":false}"
3000.0,V2_SESS,41.2,0.87,-468.73,-15.62,19.12,221,-1000000468.73,"{""label"":""V2_SESS"",""ema_fast"":21,""ema_slow"":50,""rr"":1.5,""sl_atr"":1.5,""pb_pct"":0.3,""rsi_buy_max"":48,""rsi_sell_min"":52,""adx_min"":12,""need_2candle"":false,""need_macd"":false,""session_filter"":true}"
3000.0,V2_ADX_2C,44.2,1.04,154.5,5.15,16.01,224,78.1,"{""label"":""V2_ADX_2C"",""ema_fast"":21,""ema_slow"":50,""rr"":1.5,""sl_atr"":1.5,""pb_pct"":0.3,""rsi_buy_max"":48,""rsi_sell_min"":52,""adx_min"":12,""need_2candle"":true,""need_macd"":false,""session_filter"":false}"
3000.0,V2_RR2_MOD,48.3,1.24,714.01,23.8,6.45,172,621.755,"{""label"":""V2_RR2_MOD"",""ema_fast"":21,""ema_slow"":50,""rr"":2.0,""sl_atr"":1.5,""pb_pct"":0.3,""rsi_buy_max"":48,""rsi_sell_min"":52,""adx_min"":12,""need_2candle"":false,""need_macd"":true,""session_filter"":false}"
3000.0,V2_TIGHT_PB,40.0,0.25,-132.84,-4.43,4.43,10,-1000000132.84,"{""label"":""V2_TIGHT_PB"",""ema_fast"":21,""ema_slow"":50,""rr"":1.5,""sl_atr"":1.5,""pb_pct"":0.2,""rsi_buy_max"":45,""rsi_sell_min"":55,""adx_min"":12,""need_2candle"":false,""need_macd"":true,""session_filter"":false}"
