portfolio,label,win_rate,profit_factor,pnl,roi_pct,max_dd_pct,daily_wr,consistency,trades,score,params
3000.0,RAPID_ULTRA_FAST_AGGR,48.4,0.6,-1114.06,-37.14,42.3,27.5,-0.3116,814,-1000001114.06,"{""label"":""RAPID_ULTRA_FAST_AGGR"",""MA_PERIOD"":10,""SAR_AF"":0.02,""SAR_MAX"":0.2,""RSI_PERIOD"":14,""SL_ATR_MULT"":1.2,""TP_ATR_MULT"":2.0,""MIN_SL_DISTANCE"":1.5,""MACD_FAST"":12,""MACD_SLOW"":26,""MACD_SIGNAL"":9,""RISK_RAPID"":0.1}"
3000.0,RAPID_AGGRESSIVE_TP,41.6,0.61,-803.08,-26.77,28.5,24.4,-0.324,587,-1000000803.08,"{""label"":""RAPID_AGGRESSIVE_TP"",""MA_PERIOD"":12,""SAR_AF"":0.02,""SAR_MAX"":0.2,""RSI_PERIOD"":14,""SL_ATR_MULT"":1.5,""TP_ATR_MULT"":3.0,""MIN_SL_DISTANCE"":2.0,""MACD_FAST"":12,""MACD_SLOW"":26,""MACD_SIGNAL"":9,""RISK_RAPID"":0.15}"
3000.0,RAPID_STANDARD_15_20,50.7,0.53,-1076.47,-35.88,40.0,26.55,-0.4505,655,-1000001076.47,"{""label"":""RAPID_STANDARD_15_20"",""MA_PERIOD"":12,""SAR_AF"":0.02,""SAR_MAX"":0.2,""RSI_PERIOD"":14,""SL_ATR_MULT"":1.5,""TP_ATR_MULT"":2.0,""MIN_SL_DISTANCE"":2.0,""MACD_FAST"":12,""MACD_SLOW"":26,""MACD_SIGNAL"":9,""RISK_RAPID"":0.05}"
3000.0,RAPID_SAFE_WIDE_SL,50.4,0.42,-611.03,-20.37,20.4,27.48,-0.455,385,-1000000611.03,"{""label"":""RAPID_SAFE_WIDE_SL"",""MA_PERIOD"":12,""SAR_AF"":0.02,""SAR_MAX"":0.2,""RSI_PERIOD"":14,""SL_ATR_MULT"":2.5,""TP_ATR_MULT"":2.0,""MIN_SL_DISTANCE"":3.0,""MACD_FAST"":12,""MACD_SLOW"":26,""MACD_SIGNAL"":9,""RISK_RAPID"":0.1}"
3000.0,RAPID_TIGHT_SL_WIDE_TP,39.7,0.7,-635.51,-21.18,28.5,19.16,-0.2275,633,-1000000635.51,"{""label"":""RAPID_TIGHT_SL_WIDE_TP"",""MA_PERIOD"":12,""SAR_AF"":0.03,""SAR_MAX"":0.2,""RSI_PERIOD"":14,""SL_ATR_MULT"":1.0,""TP_ATR_MULT"":3.0,""MIN_SL_DISTANCE"":2.0,""MACD_FAST"":8,""MACD_SLOW"":21,""MACD_SIGNAL"":5,""RISK_RAPID"":0.15}"
3000.0,RAPID_LONG_RSI,48.0,0.32,-1063.1,-35.44,35.5,14.19,-0.6591,654,-1000001063.1,"{""label"":""RAPID_LONG_RSI"",""MA_PERIOD"":12,""SAR_AF"":0.02,""SAR_MAX"":0.2,""RSI_PERIOD"":21,""SL_ATR_MULT"":1.5,""TP_ATR_MULT"":2.0,""MIN_SL_DISTANCE"":2.0,""MACD_FAST"":12,""MACD_SLOW"":26,""MACD_SIGNAL"":9,""RISK_RAPID"":0.1}"
10000.0,RAPID_ULTRA_FAST_AGGR,47.2,0.53,-6800.63,-68.01,68.3,17.15,-0.5618,2283,-1000006800.63,"{""label"":""RAPID_ULTRA_FAST_AGGR"",""MA_PERIOD"":10,""SAR_AF"":0.02,""SAR_MAX"":0.2,""RSI_PERIOD"":14,""SL_ATR_MULT"":1.2,""TP_ATR_MULT"":2.0,""MIN_SL_DISTANCE"":1.5,""MACD_FAST"":12,""MACD_SLOW"":26,""MACD_SIGNAL"":9,""RISK_RAPID"":0.1}"
10000.0,RAPID_AGGRESSIVE_TP,40.2,0.68,-4327.49,-43.27,55.0,17.98,-0.2424,1862,-1000004327.49,"{""label"":""RAPID_AGGRESSIVE_TP"",""MA_PERIOD"":12,""SAR_AF"":0.02,""SAR_MAX"":0.2,""RSI_PERIOD"":14,""SL_ATR_MULT"":1.5,""TP_ATR_MULT"":3.0,""MIN_SL_DISTANCE"":2.0,""MACD_FAST"":12,""MACD_SLOW"":26,""MACD_SIGNAL"":9,""RISK_RAPID"":0.15}"
10000.0,RAPID_STANDARD_15_20,47.7,0.61,-5592.12,-55.92,60.0,16.23,-0.4313,2186,-1000005592.12,"{""label"":""RAPID_STANDARD_15_20"",""MA_PERIOD"":12,""SAR_AF"":0.02,""SAR_MAX"":0.2,""RSI_PERIOD"":14,""SL_ATR_MULT"":1.5,""TP_ATR_MULT"":2.0,""MIN_SL_DISTANCE"":2.0,""MACD_FAST"":12,""MACD_SLOW"":26,""MACD_SIGNAL"":9,""RISK_RAPID"":0.05}"
10000.0,RAPID_SAFE_WIDE_SL,48.5,0.6,-4879.47,-48.79,52.3,15.71,-0.4695,2144,-1000004879.47,"{""label"":""RAPID_SAFE_WIDE_SL"",""MA_PERIOD"":12,""SAR_AF"":0.02,""SAR_MAX"":0.2,""RSI_PERIOD"":14,""SL_ATR_MULT"":2.5,""TP_ATR_MULT"":2.0,""MIN_SL_DISTANCE"":3.0,""MACD_FAST"":12,""MACD_SLOW"":26,""MACD_SIGNAL"":9,""RISK_RAPID"":0.1}"
