portfolio,label,win_rate,profit_factor,pnl,roi_pct,max_dd_pct,daily_wr,consistency,trades,score,params
3000.0,RAPID_ULTRA_FAST_AGGR,41.7,0.82,-132.55,-4.42,15.6,20.0,-0.2194,12,-1000000132.55,"{""label"":""RAPID_ULTRA_FAST_AGGR"",""MA_PERIOD"":10,""SAR_AF"":0.02,""SAR_MAX"":0.2,""RSI_PERIOD"":14,""SL_ATR_MULT"":1.2,""TP_ATR_MULT"":2.0,""MIN_SL_DISTANCE"":1.5,""MACD_FAST"":12,""MACD_SLOW"":26,""MACD_SIGNAL"":9,""RISK_RAPID"":0.1}"
3000.0,RAPID_AGGRESSIVE_TP,46.7,1.16,113.38,3.78,7.3,42.86,0.1423,15,307.3657,"{""label"":""RAPID_AGGRESSIVE_TP"",""MA_PERIOD"":12,""SAR_AF"":0.02,""SAR_MAX"":0.2,""RSI_PERIOD"":14,""SL_ATR_MULT"":1.5,""TP_ATR_MULT"":3.0,""MIN_SL_DISTANCE"":2.0,""MACD_FAST"":12,""MACD_SLOW"":26,""MACD_SIGNAL"":9,""RISK_RAPID"":0.15}"
3000.0,RAPID_STANDARD_15_20,62.5,1.36,603.65,20.12,10.8,60.0,0.2577,48,902.75,"{""label"":""RAPID_STANDARD_15_20"",""MA_PERIOD"":12,""SAR_AF"":0.02,""SAR_MAX"":0.2,""RSI_PERIOD"":14,""SL_ATR_MULT"":1.5,""TP_ATR_MULT"":2.0,""MIN_SL_DISTANCE"":2.0,""MACD_FAST"":12,""MACD_SLOW"":26,""MACD_SIGNAL"":9,""RISK_RAPID"":0.05}"
3000.0,RAPID_SAFE_WIDE_SL,60.5,1.13,137.91,4.6,11.6,60.87,0.0612,38,356.9143,"{""label"":""RAPID_SAFE_WIDE_SL"",""MA_PERIOD"":12,""SAR_AF"":0.02,""SAR_MAX"":0.2,""RSI_PERIOD"":14,""SL_ATR_MULT"":2.5,""TP_ATR_MULT"":2.0,""MIN_SL_DISTANCE"":3.0,""MACD_FAST"":12,""MACD_SLOW"":26,""MACD_SIGNAL"":9,""RISK_RAPID"":0.1}"
3000.0,RAPID_TIGHT_SL_WIDE_TP,49.1,1.18,369.0,12.3,13.7,48.0,0.1025,57,532.7,"{""label"":""RAPID_TIGHT_SL_WIDE_TP"",""MA_PERIOD"":12,""SAR_AF"":0.03,""SAR_MAX"":0.2,""RSI_PERIOD"":14,""SL_ATR_MULT"":1.0,""TP_ATR_MULT"":3.0,""MIN_SL_DISTANCE"":2.0,""MACD_FAST"":8,""MACD_SLOW"":21,""MACD_SIGNAL"":5,""RISK_RAPID"":0.15}"
3000.0,RAPID_LONG_RSI,63.6,1.56,800.96,26.7,13.7,66.67,0.3959,33,1150.16,"{""label"":""RAPID_LONG_RSI"",""MA_PERIOD"":12,""SAR_AF"":0.02,""SAR_MAX"":0.2,""RSI_PERIOD"":21,""SL_ATR_MULT"":1.5,""TP_ATR_MULT"":2.0,""MIN_SL_DISTANCE"":2.0,""MACD_FAST"":12,""MACD_SLOW"":26,""MACD_SIGNAL"":9,""RISK_RAPID"":0.1}"
10000.0,RAPID_ULTRA_FAST_AGGR,50.0,0.93,-4598.48,-45.98,71.3,31.65,-0.089,554,-1000004598.48,"{""label"":""RAPID_ULTRA_FAST_AGGR"",""MA_PERIOD"":10,""SAR_AF"":0.02,""SAR_MAX"":0.2,""RSI_PERIOD"":14,""SL_ATR_MULT"":1.2,""TP_ATR_MULT"":2.0,""MIN_SL_DISTANCE"":1.5,""MACD_FAST"":12,""MACD_SLOW"":26,""MACD_SIGNAL"":9,""RISK_RAPID"":0.1}"
10000.0,RAPID_AGGRESSIVE_TP,41.2,0.87,-2953.93,-29.54,36.4,29.63,-0.153,243,-1000002953.93,"{""label"":""RAPID_AGGRESSIVE_TP"",""MA_PERIOD"":12,""SAR_AF"":0.02,""SAR_MAX"":0.2,""RSI_PERIOD"":14,""SL_ATR_MULT"":1.5,""TP_ATR_MULT"":3.0,""MIN_SL_DISTANCE"":2.0,""MACD_FAST"":12,""MACD_SLOW"":26,""MACD_SIGNAL"":9,""RISK_RAPID"":0.15}"
10000.0,RAPID_STANDARD_15_20,51.5,0.96,-3116.28,-31.16,60.7,38.18,-0.0531,777,-1000003116.28,"{""label"":""RAPID_STANDARD_15_20"",""MA_PERIOD"":12,""SAR_AF"":0.02,""SAR_MAX"":0.2,""RSI_PERIOD"":14,""SL_ATR_MULT"":1.5,""TP_ATR_MULT"":2.0,""MIN_SL_DISTANCE"":2.0,""MACD_FAST"":12,""MACD_SLOW"":26,""MACD_SIGNAL"":9,""RISK_RAPID"":0.05}"
10000.0,RAPID_SAFE_WIDE_SL,54.6,1.0,-191.52,-1.92,48.4,40.74,-0.0037,764,-1000000191.52,"{""label"":""RAPID_SAFE_WIDE_SL"",""MA_PERIOD"":12,""SAR_AF"":0.02,""SAR_MAX"":0.2,""RSI_PERIOD"":14,""SL_ATR_MULT"":2.5,""TP_ATR_MULT"":2.0,""MIN_SL_DISTANCE"":3.0,""MACD_FAST"":12,""MACD_SLOW"":26,""MACD_SIGNAL"":9,""RISK_RAPID"":0.1}"
