portfolio,label,win_rate,profit_factor,pnl,roi_pct,max_dd_pct,daily_wr,consistency,trades,score,params
3000.0,SILVER_EVO_SAFE,79.5,1.11,171.43,5.71,15.6,65.91,0.0599,78,436.0332,"{""label"":""SILVER_EVO_SAFE"",""tp_atr_mult_ranging"":1.0,""tp_atr_mult_trending"":1.5,""sl_atr_mult"":2.2,""min_score_ranging"":60,""min_score_trending"":60,""min_score_high"":70,""adx_min"":18,""counter_trend_enabled"":false}"
3000.0,SILVER_EVO_BALANCED,82.3,0.96,-44.45,-1.48,12.7,74.29,-0.0206,62,-1000000044.45,"{""label"":""SILVER_EVO_BALANCED"",""tp_atr_mult_ranging"":1.0,""tp_atr_mult_trending"":1.25,""sl_atr_mult"":2.5,""min_score_ranging"":60,""min_score_trending"":60,""min_score_high"":70,""adx_min"":18,""counter_trend_enabled"":false}"
3000.0,SILVER_EVO_HIGH_WR,83.9,0.93,-55.75,-1.86,9.7,74.29,-0.0324,56,-1000000055.75,"{""label"":""SILVER_EVO_HIGH_WR"",""tp_atr_mult_ranging"":0.8,""tp_atr_mult_trending"":1.0,""sl_atr_mult"":2.8,""min_score_ranging"":65,""min_score_trending"":65,""min_score_high"":75,""adx_min"":20,""counter_trend_enabled"":false}"
3000.0,SILVER_EVO_TREND_FOCUS,64.6,0.81,-288.63,-9.62,19.1,56.25,-0.1121,48,-1000000288.63,"{""label"":""SILVER_EVO_TREND_FOCUS"",""tp_atr_mult_ranging"":1.5,""tp_atr_mult_trending"":2.0,""sl_atr_mult"":2.0,""min_score_ranging"":65,""min_score_trending"":60,""min_score_high"":70,""adx_min"":25,""counter_trend_enabled"":false}"
3000.0,SILVER_EVO_MORE_TRADES,72.6,0.7,-535.49,-17.85,22.1,52.5,-0.2245,84,-1000000535.49,"{""label"":""SILVER_EVO_MORE_TRADES"",""tp_atr_mult_ranging"":1.0,""tp_atr_mult_trending"":1.3,""sl_atr_mult"":2.0,""min_score_ranging"":55,""min_score_trending"":55,""min_score_high"":65,""adx_min"":15,""counter_trend_enabled"":true,""min_score_counter"":65,""tp_atr_mult_counter"":0.5}"
10000.0,SILVER_EVO_SAFE,82.4,0.99,-158.68,-1.59,17.2,66.0,-0.0058,415,-1000000158.68,"{""label"":""SILVER_EVO_SAFE"",""tp_atr_mult_ranging"":1.0,""tp_atr_mult_trending"":1.5,""sl_atr_mult"":2.2,""min_score_ranging"":60,""min_score_trending"":60,""min_score_high"":70,""adx_min"":18,""counter_trend_enabled"":false}"
10000.0,SILVER_EVO_BALANCED,84.2,0.89,-1573.03,-15.73,22.5,65.93,-0.0678,423,-1000001573.03,"{""label"":""SILVER_EVO_BALANCED"",""tp_atr_mult_ranging"":1.0,""tp_atr_mult_trending"":1.25,""sl_atr_mult"":2.5,""min_score_ranging"":60,""min_score_trending"":60,""min_score_high"":70,""adx_min"":18,""counter_trend_enabled"":false}"
10000.0,SILVER_EVO_HIGH_WR,84.0,0.57,-2876.26,-28.76,30.3,72.28,-0.2193,200,-1000002876.26,"{""label"":""SILVER_EVO_HIGH_WR"",""tp_atr_mult_ranging"":0.8,""tp_atr_mult_trending"":1.0,""sl_atr_mult"":2.8,""min_score_ranging"":65,""min_score_trending"":65,""min_score_high"":75,""adx_min"":20,""counter_trend_enabled"":false}"
10000.0,SILVER_EVO_TREND_FOCUS,75.4,0.93,-993.05,-9.93,22.5,60.83,-0.0408,281,-1000000993.05,"{""label"":""SILVER_EVO_TREND_FOCUS"",""tp_atr_mult_ranging"":1.5,""tp_atr_mult_trending"":2.0,""sl_atr_mult"":2.0,""min_score_ranging"":65,""min_score_trending"":60,""min_score_high"":70,""adx_min"":25,""counter_trend_enabled"":false}"
10000.0,SILVER_EVO_MORE_TRADES,80.1,0.94,-1171.64,-11.72,21.1,58.33,-0.0419,528,-1000001171.64,"{""label"":""SILVER_EVO_MORE_TRADES"",""tp_atr_mult_ranging"":1.0,""tp_atr_mult_trending"":1.3,""sl_atr_mult"":2.0,""min_score_ranging"":55,""min_score_trending"":55,""min_score_high"":65,""adx_min"":15,""counter_trend_enabled"":true,""min_score_counter"":65,""tp_atr_mult_counter"":0.5}"
