symbol,regime,rank,strategy,source_mix,total_trades,win_rate,profit_factor,total_pnl,max_drawdown_pct,score,production_eligible,reject_reasons
BTCUSDc,ALL,1,btc_stop_hunt,backtest_1y,11,63.6,0.69,-152.24,9.4,21.13552,0,"trades<30,pf<1.05"
BTCUSDc,ALL,2,gold_elite,backtest_1y,18,44.4,0.51,-521.33,13.9,12.21234,0,"asset_mismatch:gold!=crypto,trades<30,pf<1.05"
BTCUSDc,ALL,3,gold_break_checklist,backtest_1y,10,30.0,0.34,-466.14,12.2,6.87772,0,"asset_mismatch:gold!=crypto,trades<30,wr<40.0,pf<1.05"
BTCUSDc,ALL,4,btc_elite,backtest_1y,12,25.0,0.3,-563.78,13.1,4.73744,0,"trades<30,wr<40.0,pf<1.05"
BTCUSDc,TRENDING_UP,1,btc_stop_hunt,backtest_1y,11,63.6,0.69,-152.24,9.4,21.13552,0,"trades<30,pf<1.05"
BTCUSDc,TRENDING_UP,2,gold_elite,backtest_1y,18,44.4,0.51,-521.33,13.9,12.21234,0,"asset_mismatch:gold!=crypto,trades<30,pf<1.05"
BTCUSDc,TRENDING_UP,3,gold_break_checklist,backtest_1y,10,30.0,0.34,-466.14,12.2,6.87772,0,"asset_mismatch:gold!=crypto,trades<30,wr<40.0,pf<1.05"
BTCUSDc,TRENDING_UP,4,btc_elite,backtest_1y,12,25.0,0.3,-563.78,13.1,4.73744,0,"trades<30,wr<40.0,pf<1.05"
BTCUSDm,ALL,1,forex_precision,backtest_1y,27,48.1,1.47,81.84,13.9,26.31368,0,"asset_mismatch:forex!=crypto,trades<30"
BTCUSDm,ALL,2,gold_break_checklist,backtest_1y,30,40.0,1.52,75.84,12.3,25.58668,0,asset_mismatch:gold!=crypto
BTCUSDm,ALL,3,gold_elite,backtest_1y,29,37.9,1.16,27.37,14.0,19.99974,0,"asset_mismatch:gold!=crypto,trades<30,wr<40.0"
BTCUSDm,TRENDING_UP,1,forex_precision,backtest_1y,27,48.1,1.47,81.84,13.9,26.31368,0,"asset_mismatch:forex!=crypto,trades<30"
BTCUSDm,TRENDING_UP,2,gold_break_checklist,backtest_1y,30,40.0,1.52,75.84,12.3,25.58668,0,asset_mismatch:gold!=crypto
BTCUSDm,TRENDING_UP,3,gold_elite,backtest_1y,29,37.9,1.16,27.37,14.0,19.99974,0,"asset_mismatch:gold!=crypto,trades<30,wr<40.0"
XAGUSDc,ALL,1,silver_elite,brain_elite,17,52.9,1.05,24.08,1.6,26.16316,0,trades<30
XAGUSDm,ALL,1,opus_liquidity_hunter,backtest_1y,2,50.0,2.75,136.56,18.0,39.57312,0,trades<30
XAGUSDm,ALL,2,gold_ai_dragon,backtest_1y,2,50.0,2.47,120.43,15.2,37.16086,0,"asset_mismatch:gold!=silver,trades<30"
XAGUSDm,TRENDING_UP,1,opus_liquidity_hunter,backtest_1y,2,50.0,2.75,136.56,18.0,39.57312,0,trades<30
XAGUSDm,TRENDING_UP,2,gold_ai_dragon,backtest_1y,2,50.0,2.47,120.43,15.2,37.16086,0,"asset_mismatch:gold!=silver,trades<30"
XAUUSDc,ALL,1,gold_elite,"brain_best,brain_elite,tournament",210,48.133333,2.522083,573.6925,8.502083,37.068489,1,
XAUUSDc,ALL,2,vfinal,tournament,953,50.1,1.17,17798.97,22.3,16.8722,1,
XAUUSDc,ALL,3,gold_session_breakout,tournament,30,50.0,1.72,1747.12,6.5,5.2851,1,
XAUUSDc,ALL,4,ranging_sniper,tournament,322,34.8,1.12,3727.78,28.8,5.9757,0,"wr<40.0,dd>25.0"
XAUUSDc,ALL,5,trend_rider,tournament,265,32.8,1.1,2096.51,19.7,5.6596,0,wr<40.0
XAUUSDc,ALL,6,gold_smart_money,tournament,82,30.5,1.17,1246.32,12.5,3.393,0,wr<40.0
XAUUSDc,ALL,7,gold_break_checklist,tournament,175,33.1,0.95,-606.01,21.0,0.9859,0,"wr<40.0,pf<1.05"
XAUUSDc,ALL,8,universal_sniper,tournament,465,25.8,0.91,-2360.84,40.0,0.9113,0,"wr<40.0,pf<1.05,dd>25.0"
XAUUSDc,ALL,9,gold_precision,tournament,111,31.5,0.96,-361.52,25.3,0.714,0,"wr<40.0,pf<1.05,dd>25.0"
XAUUSDc,ALL,10,sniper,tournament,31,25.8,0.82,-496.31,11.6,0.3124,0,"wr<40.0,pf<1.05"
XAUUSDc,ALL,11,scalping,tournament,5,20.0,0.28,-477.76,4.8,0.0358,0,"trades<30,wr<40.0,pf<1.05"
XAUUSDc,HIGH_VOLATILITY,1,vfinal,tournament,398,48.743719,1.17,4392.56,22.3,36.524202,1,
XAUUSDc,HIGH_VOLATILITY,2,gold_session_breakout,tournament,26,50.0,1.72,1584.69,6.5,24.817132,0,trades<30
XAUUSDc,HIGH_VOLATILITY,3,scalping,tournament,1,100.0,0.28,185.42,4.8,17.628076,0,"trades<30,pf<1.05"
XAUUSDc,HIGH_VOLATILITY,4,gold_elite,tournament,95,42.105263,1.04,301.89,19.0,16.331612,0,pf<1.05
XAUUSDc,HIGH_VOLATILITY,5,gold_smart_money,tournament,37,29.72973,1.17,513.02,12.5,14.170307,0,wr<40.0
XAUUSDc,HIGH_VOLATILITY,6,gold_break_checklist,tournament,73,41.09589,0.95,950.03,21.0,13.263186,0,pf<1.05
XAUUSDc,HIGH_VOLATILITY,7,ranging_sniper,tournament,109,30.275229,1.12,-369.68,28.8,12.257136,0,"wr<40.0,dd>25.0"
XAUUSDc,HIGH_VOLATILITY,8,trend_rider,tournament,133,26.315789,1.1,-3051.6,19.7,10.710846,0,wr<40.0
XAUUSDc,HIGH_VOLATILITY,9,sniper,tournament,11,27.272727,0.82,-83.5,11.6,8.547108,0,"trades<30,wr<40.0,pf<1.05"
XAUUSDc,HIGH_VOLATILITY,10,gold_precision,tournament,55,29.090909,0.96,-499.26,25.3,7.847885,0,"wr<40.0,pf<1.05,dd>25.0"
XAUUSDc,HIGH_VOLATILITY,11,universal_sniper,tournament,202,20.792079,0.91,-4861.13,40.0,1.941199,0,"wr<40.0,pf<1.05,dd>25.0"
XAUUSDc,TRENDING_DOWN,1,vfinal,tournament,257,45.525292,1.17,-6007.57,22.3,17.898539,1,
XAUUSDc,TRENDING_DOWN,2,trend_rider,tournament,46,34.782609,1.1,1562.98,19.7,15.258158,0,wr<40.0
XAUUSDc,TRENDING_DOWN,3,gold_smart_money,tournament,21,28.571429,1.17,63.4,12.5,12.877577,0,"trades<30,wr<40.0"
XAUUSDc,TRENDING_DOWN,4,ranging_sniper,tournament,69,33.333333,1.12,154.62,28.8,12.135668,0,"wr<40.0,dd>25.0"
XAUUSDc,TRENDING_DOWN,5,gold_elite,tournament,39,33.333333,1.04,-1319.39,19.0,10.97851,0,"wr<40.0,pf<1.05"
XAUUSDc,TRENDING_DOWN,6,universal_sniper,tournament,125,29.6,0.91,1564.57,40.0,9.223396,0,"wr<40.0,pf<1.05,dd>25.0"
XAUUSDc,TRENDING_DOWN,7,gold_precision,tournament,28,25.0,0.96,-843.34,25.3,5.858308,0,"trades<30,wr<40.0,pf<1.05,dd>25.0"
XAUUSDc,TRENDING_DOWN,8,sniper,tournament,8,12.5,0.82,-277.56,11.6,5.796762,0,"trades<30,wr<40.0,pf<1.05"
XAUUSDc,TRENDING_DOWN,9,gold_break_checklist,tournament,31,19.354839,0.95,-1460.27,21.0,5.231875,0,"wr<40.0,pf<1.05"
XAUUSDc,TRENDING_UP,1,vfinal,tournament,292,56.164384,1.17,19578.61,22.3,41.574732,1,
XAUUSDc,TRENDING_UP,2,trend_rider,tournament,86,41.860465,1.1,3585.13,19.7,20.337105,1,
XAUUSDc,TRENDING_UP,3,gold_session_breakout,tournament,2,100.0,1.72,565.35,6.5,30.83699,0,trades<30
XAUUSDc,TRENDING_UP,4,ranging_sniper,tournament,139,39.568345,1.12,4427.77,28.8,20.978952,0,"wr<40.0,dd>25.0"
